"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DPyR1","ConPrevio","items","responses"
"211",117,1,19,0,1,1,0,"p21",0
"212",336,3,19,0,1,1,0,"p21",0
"213",101,1,19,0,0,1,0,"p21",0
"214",312,3,19,0,1,1,0,"p21",1
"215",23,1,19,0,1,1,0,"p21",0
"216",306,3,19,0,1,1,0,"p21",1
"217",58,1,18,0,1,1,0,"p21",1
"218",3,1,24,1,1,0,1,"p21",0
"219",264,3,19,1,0,0,1,"p21",0
"220",187,2,19,0,0,0,0,"p21",0
"221",251,3,20,0,1,1,0,"p21",0
"222",65,1,19,0,1,1,0,"p21",0
"223",235,3,26,0,0,0,1,"p21",0
"224",72,1,19,0,0,0,0,"p21",0
"225",114,1,19,0,0,0,0,"p21",0
"226",272,3,19,0,1,1,0,"p21",0
"227",233,2,19,0,0,1,0,"p21",0
"228",249,3,20,0,0,0,1,"p21",0
"229",319,3,19,0,1,1,0,"p21",0
"230",63,1,18,0,1,1,0,"p21",0
"231",217,2,19,0,0,1,0,"p21",0
"232",79,1,18,0,1,1,0,"p21",0
"233",73,1,19,0,1,0,0,"p21",0
"234",196,2,19,0,0,0,0,"p21",0
"235",43,1,19,0,0,0,0,"p21",0
"236",104,1,19,0,1,1,0,"p21",0
"237",59,1,18,0,1,0,0,"p21",0
"238",211,2,18,0,1,1,0,"p21",1
"239",151,2,20,1,0,0,1,"p21",0
"240",294,3,20,1,0,0,1,"p21",0
"241",242,3,22,1,0,0,0,"p21",1
"242",287,3,19,0,0,0,0,"p21",0
"243",37,1,19,0,1,0,0,"p21",0
"244",300,3,19,0,1,1,0,"p21",1
"245",183,2,19,0,1,1,0,"p21",1
"246",308,3,19,0,1,1,0,"p21",1
"247",100,1,18,0,1,1,0,"p21",0
"248",11,1,22,1,1,1,0,"p21",1
"249",160,2,19,0,0,0,0,"p21",0
"250",32,1,19,0,0,0,0,"p21",0
"251",203,2,18,0,0,1,0,"p21",0
"252",62,1,19,0,1,1,0,"p21",0
"253",181,2,18,0,0,1,0,"p21",0
"254",318,3,19,0,1,1,0,"p21",0
"255",139,2,21,1,0,1,1,"p21",1
"256",78,1,22,1,1,0,1,"p21",0
"257",129,2,20,1,0,1,1,"p21",0
"258",325,3,19,1,1,1,1,"p21",0
"259",87,1,18,0,1,1,0,"p21",1
