"","Id","Grupo","Edad","Sexo","MUNICIPIO","DeptoSecc","Dedica_AP1","Dedica_DPyR1","ConPrevio","p11","p21","p31","p41","p51","p61","p71","p81","p91","p101","r11","r21","r31","r41","r51","r61","r71","r81","r91","r101"
"93",19,1,19,"F","E","MONTEVIDEO",0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
"94",164,2,19,"F","CH","MONTEVIDEO",1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"95",44,1,19,"F",NA,"FLORIDA",1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"96",207,2,18,"F","CANELONES","CANELONES",0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"97",220,2,18,"M","G","MONTEVIDEO",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"98",157,2,19,"F","D","MONTEVIDEO",0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"99",103,1,19,"F","D","MONTEVIDEO",1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"100",99,1,19,"F","B","MONTEVIDEO",1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"101",22,1,19,"F","D","MONTEVIDEO",1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
"102",333,3,19,"F","SALINAS","CANELONES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",90,1,18,"F",NA,"FLORES",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"104",262,3,20,"M","PUNTA DEL ESTE","MALDONADO",0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"105",330,3,18,"F","B","MONTEVIDEO",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",284,3,20,"M","F","MONTEVIDEO",0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"107",77,1,19,"F","G","MONTEVIDEO",1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"108",16,1,21,"F","B","MONTEVIDEO",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"109",315,3,19,"F","A","MONTEVIDEO",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",119,1,19,"F","E","MONTEVIDEO",0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"111",288,3,19,"F","CH","MONTEVIDEO",1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0
"112",278,3,19,"F","SALINAS","CANELONES",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",38,1,19,"F","SALINAS","CANELONES",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"114",50,1,19,"F","E","MONTEVIDEO",1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1
"115",113,1,19,"F","SAN CARLOS","MALDONADO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",218,2,18,"F","LA FLORESTA","CANELONES",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"117",158,2,19,"F","B","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"118",311,3,19,"F","LA PALOMA","ROCHA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"119",134,2,20,"F","CANELONES","CANELONES",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"120",305,3,18,"F","D","MONTEVIDEO",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"121",66,1,18,"F","D","MONTEVIDEO",1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"122",69,1,18,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"123",184,2,18,"F","CIUDAD DE LA COSTA","CANELONES",1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
"124",337,3,18,"F","D","MONTEVIDEO",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"125",161,2,21,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"126",98,1,19,"F","D","MONTEVIDEO",1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"127",97,1,19,"F","PUNTA DEL ESTE","MALDONADO",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"128",154,2,19,"F",NA,"RIO NEGRO",0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"129",176,2,19,"F","D","MONTEVIDEO",0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"130",40,1,19,"F","LIBERTAD","SAN JOSE",1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"131",290,3,19,"F","B","MONTEVIDEO",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"132",12,1,20,"M","B","MONTEVIDEO",1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"133",83,1,19,"F","D","MONTEVIDEO",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"134",275,3,19,"F","SALINAS","CANELONES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",280,3,19,"F","CH","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",123,2,22,"M",NA,"COLONIA",1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"137",86,1,18,"F","CH","MONTEVIDEO",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"138",111,1,21,"M","C","MONTEVIDEO",1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"139",273,3,26,"F","CH","MONTEVIDEO",1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"140",30,1,19,"F","G","MONTEVIDEO",1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"141",232,2,19,"F","C","MONTEVIDEO",1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"142",240,3,22,"M","SAN JACINTO","CANELONES",1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"143",314,3,20,"F","LAS PIEDRAS","CANELONES",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",190,2,18,"F","D","MONTEVIDEO",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"145",295,3,19,"F","F","MONTEVIDEO",1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"146",323,3,19,"F","E","MONTEVIDEO",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"147",17,1,20,"F","B","MONTEVIDEO",1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"148",172,2,19,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"149",247,3,21,"F","G","MONTEVIDEO",1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"150",27,1,19,"F","CIUDAD DE LA COSTA","CANELONES",1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"151",169,2,19,"M","CH","MONTEVIDEO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",56,1,19,"F",NA,"FLORES",0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"153",57,1,18,"F","CIUDAD DE LA COSTA","CANELONES",0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
"154",147,2,19,"F","D","MONTEVIDEO",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"155",188,2,19,"F","G","MONTEVIDEO",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"156",148,2,19,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"157",269,3,19,"F","B","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"158",47,1,19,"F","B","MONTEVIDEO",1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"159",108,1,20,"M","D","MONTEVIDEO",1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"160",197,2,19,"F","CH","MONTEVIDEO",0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
"161",120,1,27,"M","B","MONTEVIDEO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"162",255,3,20,"F","AIGUA","MALDONADO",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"163",209,2,19,"F","ISIDORO NOBLIA","CERRO LARGO",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"164",182,2,18,"F","PUNTA DEL ESTE","MALDONADO",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"165",14,1,20,"F","D","MONTEVIDEO",1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"166",293,3,19,"F","E","MONTEVIDEO",1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"167",88,1,18,"F","CH","MONTEVIDEO",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"168",42,1,19,"F",NA,"SAN JOSE",0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"169",254,3,20,"M","C","MONTEVIDEO",1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"170",55,1,19,"F","B","MONTEVIDEO",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"171",307,3,18,"F","B","MONTEVIDEO",1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
"172",67,1,18,"F","SALINAS","CANELONES",1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
"173",159,2,19,"F","C","MONTEVIDEO",1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"174",132,2,20,"F","C","MONTEVIDEO",0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"175",228,2,19,"F","CH","MONTEVIDEO",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"176",71,1,18,"F","SAN BAUTISTA","CANELONES",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"177",297,3,19,"F","CH","MONTEVIDEO",1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"178",193,2,22,"F","LAS PIEDRAS","CANELONES",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",5,1,24,"F","D","MONTEVIDEO",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",298,3,18,"F","C","MONTEVIDEO",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"181",302,3,18,"F","G","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"182",192,2,14,"F","SALINAS","MONTEVIDEO",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"183",189,2,18,"F","D","MONTEVIDEO",0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
"184",124,2,21,"F","B","MONTEVIDEO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"185",112,1,18,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"186",133,2,22,"M","D","MONTEVIDEO",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",261,3,20,"M","CIUDAD DE LA COSTA","CANELONES",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"188",216,2,18,"F","SARANDI GRANDE","FLORIDA",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",33,1,19,"F","A","MONTEVIDEO",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"190",53,1,19,"F","B","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
